bin_id,dwell_time_min
0,"[218.516, 15.501, 15.501]"
1,[]
2,[]
3,[21.001]
4,[]
5,[28.502]
6,[]
7,[]
8,[]
9,"[25.501, 28.501]"
10,[]
11,[]
12,[20.501]
13,[19.002]
14,[]
15,[]
16,[9.0]
17,[]
18,"[80.006, 27.502, 20.501]"
19,[9.0]
20,"[18.001, 17.001, 6.501]"
21,[7.0]
22,"[32.001, 21.001]"
23,[7.0]
24,[]
25,[32.002]
26,"[34.502, 18.001, 9.001]"
27,[]
28,"[32.002, 9.001]"
29,[29.502]
30,[]
31,[21.001]
32,[]
33,"[72.004, 49.003]"
34,[]
35,[]
36,[]
37,[]
38,[]
39,[]
40,[13.001]
41,[]
42,[]
43,[]
44,[]
45,[]
46,[]
47,[]
48,[]
49,[18.001]
50,[]
51,[]
52,[19.83]
53,[]
54,[]
55,[]
56,[61.176]
57,[]
58,[]
59,[]
60,[]
61,[]
62,[]
63,[]
64,[6.356]
65,[]
66,[]
67,[]
68,[]
69,[]
70,[]
71,[]
72,"[13.001, 13.001]"
73,[]
74,[]
75,[]
76,[]
77,[]
78,[]
79,"[7.5, 8.0]"
80,[]
81,[652.172]
82,[]
83,[]
84,[]
85,[29.823]
86,[574.665]
87,[]
88,[322.838]
89,"[15.5, 23.501, 6.501]"
90,"[18.501, 653.714, 7.501]"
91,[593.391]
92,"[16.501, 109.006]"
93,"[259.351, 268.856, 584.212]"
94,"[251.865, 290.852, 543.858, 288.338, 616.262, 305.344]"
95,"[241.838, 109.508, 262.816, 282.866, 260.85, 289.338, 382.35, 86.506]"
96,"[279.359, 10.501, 264.836, 294.849, 313.851, 231.338, 287.004, 296.848]"
97,"[22.001, 283.838, 282.838, 225.363, 644.221, 288.019, 283.018, 230.349, 110.508, 272.338, 202.833, 223.844, 282.646, 281.84]"
98,"[270.004, 542.382, 277.018, 226.334, 281.348, 55.004, 307.331, 277.856, 361.834, 248.839, 98.506, 103.508, 232.846, 276.366, 244.352, 13.001, 317.369, 305.52, 276.344, 278.337, 219.372, 275.333, 29.502, 210.362, 650.894, 275.351, 299.868, 171.869]"
99,"[223.849, 40.503, 214.813, 65.504, 274.009, 275.34, 232.402, 140.509, 286.848, 246.852, 274.835, 32.503, 194.86, 287.829, 9.501, 19.501, 15.501, 15.501, 46.503, 202.844, 218.362, 249.838, 264.516, 154.832, 249.331, 281.84, 271.866, 215.84, 288.337]"
100,"[92.506, 572.183, 8.001, 32.503, 468.866, 230.014, 67.005, 266.351, 223.014, 88.505, 274.345, 244.326, 237.827, 253.839, 524.63, 238.835, 144.844, 204.362, 94.507, 176.833]"
101,"[264.843, 246.515, 84.505, 209.348, 98.507, 16.501, 64.504, 6.5, 504.865, 245.332, 317.845, 58.004, 163.825]"
102,"[13.5, 219.836, 528.036, 8.0, 118.009, 332.332, 31.001, 184.348, 246.515, 28.503, 70.005, 454.851, 221.348, 207.871, 204.362, 212.824, 44.002, 217.514, 250.842, 223.507, 592.713, 218.401]"
103,"[534.709, 218.862, 190.998, 196.327, 141.01, 203.812, 202.641, 186.332, 197.335, 207.839, 198.716, 130.009, 199.015, 219.514, 453.365, 146.01, 236.336, 581.384, 598.208, 736.182]"
104,"[153.832, 199.999, 222.844, 127.844, 177.323, 274.838, 265.366, 162.86, 33.002]"
105,"[191.013, 216.344, 520.535, 113.508, 253.016, 265.854, 7.501, 117.841, 65.004, 223.642]"
106,"[196.34, 165.497, 270.342, 14.501, 163.825, 576.959, 644.202, 498.858, 100.829, 22.001, 19.501, 163.345, 328.341, 189.36, 57.004, 161.33]"
107,"[80.006, 405.851, 175.011, 494.212, 296.368, 605.712, 274.356, 56.504, 159.51, 43.503, 186.012, 151.138, 223.342]"
