bin_id,bin_label,mean_occupied_spots
0,00:00,0.1
1,00:05,0.098
2,00:10,0.098
3,00:15,0.064
4,00:20,0.08
5,00:25,0.088
6,00:30,0.098
7,00:35,0.098
8,00:40,0.074
9,00:45,0.083
10,00:50,0.098
11,00:55,0.078
12,01:00,0.083
13,01:05,0.103
14,01:10,0.108
15,01:15,0.078
16,01:20,0.088
17,01:25,0.074
18,01:30,0.074
19,01:35,0.113
20,01:40,0.157
21,01:45,0.176
22,01:50,0.162
23,01:55,0.152
24,02:00,0.108
25,02:05,0.118
26,02:10,0.154
27,02:15,0.157
28,02:20,0.176
29,02:25,0.157
30,02:30,0.137
31,02:35,0.147
32,02:40,0.137
33,02:45,0.162
34,02:50,0.134
35,02:55,0.098
36,03:00,0.078
37,03:05,0.078
38,03:10,0.078
39,03:15,0.078
40,03:20,0.098
41,03:25,0.098
42,03:30,0.088
43,03:35,0.049
44,03:40,0.039
45,03:45,0.039
46,03:50,0.039
47,03:55,0.029
48,04:00,0.02
49,04:05,0.034
50,04:10,0.039
51,04:15,0.039
52,04:20,0.054
53,04:25,0.039
54,04:30,0.039
55,04:35,0.039
56,04:40,0.039
57,04:45,0.039
58,04:50,0.039
59,04:55,0.039
60,05:00,0.039
61,05:05,0.039
62,05:10,0.039
63,05:15,0.039
64,05:20,0.054
65,05:25,0.049
66,05:30,0.039
67,05:35,0.039
68,05:40,0.025
69,05:45,0.02
70,05:50,0.02
71,05:55,0.02
72,06:00,0.059
73,06:05,0.059
74,06:10,0.039
75,06:15,0.02
76,06:20,0.02
77,06:25,0.02
78,06:30,0.02
79,06:35,0.049
80,06:40,0.049
81,06:45,0.029
82,06:50,0.039
83,06:55,0.039
84,07:00,0.039
85,07:05,0.052
86,07:10,0.078
87,07:15,0.078
88,07:20,0.098
89,07:25,0.129
90,07:30,0.17
91,07:35,0.186
92,07:40,0.196
93,07:45,0.235
94,07:50,0.299
95,07:55,0.397
96,08:00,0.57
97,08:05,0.77
98,08:10,1.163
99,08:15,1.804
100,08:20,2.255
101,08:25,2.526
102,08:30,2.804
103,08:35,3.199
104,08:40,3.358
105,08:45,3.536
106,08:50,3.761
107,08:55,4.041
108,09:00,4.376
109,09:05,4.59
110,09:10,4.809
111,09:15,5.136
112,09:20,5.371
113,09:25,5.729
114,09:30,6.026
115,09:35,6.221
116,09:40,6.498
117,09:45,6.699
118,09:50,6.609
119,09:55,6.608
120,10:00,6.789
121,10:05,6.864
122,10:10,6.923
123,10:15,7.044
124,10:20,7.23
125,10:25,7.377
126,10:30,7.448
127,10:35,7.552
128,10:40,7.629
129,10:45,7.605
130,10:50,7.681
131,10:55,7.758
132,11:00,7.856
133,11:05,7.935
